"City","Year","Ratio"
"Anaheim","2010","0.343538309848446"
"Anaheim","2011","0.331118007964181"
"Anaheim","2012","0.33638234033362"
"Anaheim","2013","0.292159857706115"
"Anaheim","2014","0.293589081706961"
"Anaheim","2015","0.301016600980546"
"Bullheadcity","2009","0.400334819596023"
"Bullheadcity","2010","0.386179582206991"
"Bullheadcity","2011","0.362183973160584"
"Bullheadcity","2012","0.396336332529481"
"Bullheadcity","2013","0.398913985253387"
"Bullheadcity","2014","0.405413890617568"
"Calabasasca","2010","0.288317572130708"
"Calabasasca","2011","0.255898207590157"
"Calabasasca","2012","0.297281208834355"
"Calabasasca","2013","0.307672718971953"
"Calabasasca","2014","0.301383551880704"
"Castatelands","2009","0.663096268704657"
"Castatelands","2010","0.711584129297821"
"Castatelands","2011","0.599523296480952"
"Castatelands","2012","0.729697070577409"
"Castatelands","2013","0.712557768916669"
"Culvercity","2008","0.472711248633903"
"Culvercity","2009","0.479568028714601"
"Culvercity","2010","0.453699239711118"
"Culvercity","2011","0.429513167562136"
"Culvercity","2012","0.439052054290514"
"Culvercity","2013","0.549516472038736"
"Culvercity","2014","0.51246673515221"
"Culvercity","2015","0.564024069712151"
"Davis","2012","0.39025275820627"
"Davis","2013","0.404939912801988"
"Davis","2014","0.183246190173011"
"Davis","2015","0.269230369999891"
"Dublin","2010","0.147660905136734"
"Dublin","2011","0.15943248393303"
"Dublin","2012","0.186659480682214"
"Dublin","2013","0.178132569724577"
"Dublin","2014","0.135536790229603"
"Dublin","2015","0.213328440001905"
"Elsegundoca","2009","0.456132475584205"
"Elsegundoca","2010","0.458961832317831"
"Elsegundoca","2011","0.507812646112101"
"Elsegundoca","2012","0.471547775982842"
"Elsegundoca","2013","0.449680722225745"
"Elsegundoca","2014","0.45485266202717"
"Fresnoasi","2010","0.293520434680804"
"Fresnoasi","2011","0.283888885680364"
"Fresnoasi","2012","0.289603729327928"
"Fresnoasi","2013","0.301602269943865"
"Fresnoasi","2014","0.317649471323294"
"Fresnoasi","2015","0.388308379888268"
"Hlpusd","2010","0.162127534132612"
"Hlpusd","2011","0.154215908932864"
"Hlpusd","2012","0.16733429184625"
"Hlpusd","2013","0.168761797219772"
"Hlpusd","2014","0.167210949119686"
"Hlpusd","2015","0.157864483606188"
"Losangeles","2010","0.399184598898543"
"Losangeles","2011","0.39312807721808"
"Losangeles","2012","0.424216518022086"
"Losangeles","2013","0.428994027513882"
"Losangeles","2014","0.421658780266949"
"Losangeles","2015","0.406078672115191"
"Menlopark","2009","0.45162603638608"
"Menlopark","2010","0.415191081543642"
"Menlopark","2011","0.256213661737345"
"Menlopark","2012","0.341374937590445"
"Menlopark","2013","0.423247478952752"
"Mountainview","2009","0.30395167741809"
"Mountainview","2010","0.261404456210585"
"Mountainview","2011","0.308975042773415"
"Mountainview","2012","0.284762761526639"
"Mountainview","2013","0.285315317024489"
"Mountainview","2014","0.278809593425293"
"Newhaven","2011","0.244049495521839"
"Newhaven","2012","0.268964498682412"
"Newhaven","2013","0.275166970926095"
"Newhaven","2014","0.271889950465812"
"Newhaven","2015","0.271779473703329"
"Oakharborwa","2009","0.339503096840409"
"Oakharborwa","2010","0.316238609759393"
"Oakharborwa","2011","0.285573919663132"
"Oakharborwa","2012","0.288206791167231"
"Oakharborwa","2013","0.295750490095493"
"Oakharborwa","2014","0.178680104307186"
"Riverside","2009","0.270403963227772"
"Riverside","2010","0.28421016257344"
"Riverside","2011","0.270296562168288"
"Riverside","2012","0.256148349882969"
"Riverside","2013","0.27542965411679"
"Riverside","2014","0.3183535479082"
"Rockport","2011","0.270253703963529"
"Rockport","2012","0.257934395547211"
"Rockport","2013","0.274221178642519"
"Rockport","2014","0.276037043380536"
"Santacruz","2008","0.11971548612954"
"Santacruz","2009","0.131511601998567"
"Santacruz","2010","0.136446804481873"
"Santacruz","2011","0.11381523860754"
"Santacruz","2012","0.0908327266259252"
"Santacruz","2013","0.140026707697327"
"Santacruz","2014","0.136182772214653"
"Saratoga","2009","0.308573556271151"
"Saratoga","2010","0.339065695455105"
"Saratoga","2011","0.33037590664455"
"Saratoga","2012","0.195052840413885"
