city,__amount,__id,year,description,type,id
Anaheim,42416708100,Labor,2011,Actual,actual,8D7AEAB69B2C4A24A0C4CCECA7E5953F
Anaheim,43189689700,Labor,2010,Actual,actual,F20A586295FE40CBB2BA40678E9D842A
Anaheim,42830710800,Labor,2012,Actual,actual,81FC877479FB4E6E9B506CD9F7D68295
Anaheim,42749829800,Labor,2013,Actual,actual,91A89218E7EF4639BCF9C5554E6FB68E
Anaheim,45815537000,Labor,2014,Budget,budget,036A8039B3B64552B5566CC7AFB610BA
Anaheim,48703145100,Labor,2015,Budget,budget,C174813162774CA391C5E36B4943C25E
Anaheim,65214382000,Operating,2011,Actual,actual,8D7AEAB69B2C4A24A0C4CCECA7E5953F
Anaheim,64728505300,Operating,2010,Actual,actual,F20A586295FE40CBB2BA40678E9D842A
Anaheim,64545996200,Operating,2012,Actual,actual,81FC877479FB4E6E9B506CD9F7D68295
Anaheim,67355869100,Operating,2013,Actual,actual,91A89218E7EF4639BCF9C5554E6FB68E
Anaheim,71266877400,Operating,2014,Budget,budget,036A8039B3B64552B5566CC7AFB610BA
Anaheim,73593912000,Operating,2015,Budget,budget,C174813162774CA391C5E36B4943C25E
Anaheim,8415648700,Capital,2011,Actual,actual,8D7AEAB69B2C4A24A0C4CCECA7E5953F
Anaheim,5616036200,Capital,2010,Actual,actual,F20A586295FE40CBB2BA40678E9D842A
Anaheim,6460410300,Capital,2012,Actual,actual,81FC877479FB4E6E9B506CD9F7D68295
Anaheim,12953084400,Capital,2013,Actual,actual,91A89218E7EF4639BCF9C5554E6FB68E
Anaheim,24765009600,Capital,2014,Budget,budget,036A8039B3B64552B5566CC7AFB610BA
Anaheim,24581338600,Capital,2015,Budget,budget,C174813162774CA391C5E36B4943C25E
Anaheim,12054744900,Debt Service,2011,Actual,actual,8D7AEAB69B2C4A24A0C4CCECA7E5953F
Anaheim,12185924200,Debt Service,2010,Actual,actual,F20A586295FE40CBB2BA40678E9D842A
Anaheim,13490348100,Debt Service,2012,Actual,actual,81FC877479FB4E6E9B506CD9F7D68295
Anaheim,14205848600,Debt Service,2014,Budget,budget,036A8039B3B64552B5566CC7AFB610BA
Anaheim,14917149600,Debt Service,2015,Budget,budget,C174813162774CA391C5E36B4943C25E
Anaheim,23264637500,Debt Service,2013,Actual,actual,91A89218E7EF4639BCF9C5554E6FB68E
Bell,1117196546,Personnel Services,2011,Actual,actual,F74C357B5D564A8F8980BDED38FF04E0
Bell,1051763980,Personnel Services,2013,Actual,actual,0766A5D208C0403F977A1419AFECD24B
Bell,978724672,Personnel Services,2012,Actual,actual,83D44F23BB414CDEBA93AAFDD38BB588
Bell,1584093416,Personnel Services,2010,Actual,actual,366741863C9E437EBD8DA407EC305E42
Bell,995165400,Personnel Services,2014,Budget,budget,934C61473EE842C3A1F01EC0CF6064C6
Bell,427424991,Operations,2011,Actual,actual,F74C357B5D564A8F8980BDED38FF04E0
Bell,636541032,Operations,2013,Actual,actual,0766A5D208C0403F977A1419AFECD24B
Bell,399149700,Operations,2014,Budget,budget,934C61473EE842C3A1F01EC0CF6064C6
Bell,490859219,Operations,2012,Actual,actual,83D44F23BB414CDEBA93AAFDD38BB588
Bell,1019246744,Operations,2010,Actual,actual,366741863C9E437EBD8DA407EC305E42
Bell,558645434,Administrative Services,2011,Actual,actual,F74C357B5D564A8F8980BDED38FF04E0
Bell,659018413,Administrative Services,2010,Actual,actual,366741863C9E437EBD8DA407EC305E42
Bell,563124065,Administrative Services,2012,Actual,actual,83D44F23BB414CDEBA93AAFDD38BB588
Bell,653238542,Administrative Services,2013,Actual,actual,0766A5D208C0403F977A1419AFECD24B
Bell,558175100,Administrative Services,2014,Budget,budget,934C61473EE842C3A1F01EC0CF6064C6
Bell,142783578,Capital Outlay,2011,Actual,actual,F74C357B5D564A8F8980BDED38FF04E0
Bell,175172861,Capital Outlay,2013,Actual,actual,0766A5D208C0403F977A1419AFECD24B
Bell,684060900,Capital Outlay,2014,Budget,budget,934C61473EE842C3A1F01EC0CF6064C6
Bell,117527810,Capital Outlay,2012,Actual,actual,83D44F23BB414CDEBA93AAFDD38BB588
Bell,450575215,Capital Outlay,2010,Actual,actual,366741863C9E437EBD8DA407EC305E42
Bell,724103648,Debt Service,2011,Actual,actual,F74C357B5D564A8F8980BDED38FF04E0
Bell,821332069,Debt Service,2010,Actual,actual,366741863C9E437EBD8DA407EC305E42
Bell,2531143830,Debt Service,2013,Actual,actual,0766A5D208C0403F977A1419AFECD24B
Bell,649328700,Debt Service,2014,Budget,budget,934C61473EE842C3A1F01EC0CF6064C6
Bell,717313401,Debt Service,2012,Actual,actual,83D44F23BB414CDEBA93AAFDD38BB588
Bell,6530100,Federal/County Revenue,2011,Actual,actual,F74C357B5D564A8F8980BDED38FF04E0
Bell,21904,Park & Recreation,2011,Actual,actual,F74C357B5D564A8F8980BDED38FF04E0
Bell,716518,Park & Recreation,2013,Actual,actual,0766A5D208C0403F977A1419AFECD24B
Bell,235901.00000000003,Park & Recreation,2012,Actual,actual,83D44F23BB414CDEBA93AAFDD38BB588
Bell,9467991,Special Projects,2010,Actual,actual,366741863C9E437EBD8DA407EC305E42
Bell,-1960000,Grant Operations,2012,Actual,actual,83D44F23BB414CDEBA93AAFDD38BB588
Bell,300,Revenue from Other Agencies,2013,Actual,actual,0766A5D208C0403F977A1419AFECD24B
Bell,25625,Revenue from Other Agencies,2012,Actual,actual,83D44F23BB414CDEBA93AAFDD38BB588
Bishop,247816500,Non-Departmental,2009,Actual,actual,A7AD83D70F0D263073CD95CF1D2BDF2C
Bishop,211917900,Non-Departmental,2011,Actual,actual,A3F707AAE5A51E5C97D9BDB3F5914AFF
Bishop,176179000,Non-Departmental,2010,Actual,actual,8F475BBEB7121BF0F4E9006AAE7455FA
Bishop,196540400,Non-Departmental,2013,Budget,budget,9D16CD3F88BDE264CF5C2CD009CED86F
Bishop,128444100,Non-Departmental,2012,Actual,actual,76287FC18C40C631A7C48E2A33C5DCB6
Bishop,375161900,Non-Departmental,2014,Budget,budget,E02BD36065064960B87EED1DE187C08C
Bishop,7439994,Non-Departmental,2014,Actual,actual,42094826A85446278FAD1F8671B94928
Bishop,19776363,Non-Departmental,2014,Actual,actual,DCE6BEB13C774448883360070F24EEDB
Bishop,24805690,Non-Departmental,2014,Actual,actual,16E9ED8C06DF4CB09AD7E975FF87C46E
Bishop,46057737,Non-Departmental,2014,Actual,actual,676A1514A7C54765B5AD78973171A21C
Bishop,86763963,Non-Departmental,2014,Actual,actual,A44920AA958640E6A129FB714414A0FC
Bishop,32055138,Non-Departmental,2014,Actual,actual,1DCCC66C377C4708BAF2F734373632C7
Bishop,14757500,City Council,2009,Actual,actual,A7AD83D70F0D263073CD95CF1D2BDF2C
Bishop,17600500,City Council,2011,Actual,actual,A3F707AAE5A51E5C97D9BDB3F5914AFF
Bishop,15314000,City Council,2010,Actual,actual,8F475BBEB7121BF0F4E9006AAE7455FA
Bishop,17490000,City Council,2013,Budget,budget,9D16CD3F88BDE264CF5C2CD009CED86F
Bishop,15745900,City Council,2012,Actual,actual,76287FC18C40C631A7C48E2A33C5DCB6
Bishop,17390000,City Council,2014,Budget,budget,E02BD36065064960B87EED1DE187C08C
Bishop,974033,City Council,2014,Actual,actual,42094826A85446278FAD1F8671B94928
Bishop,2038249,City Council,2014,Actual,actual,DCE6BEB13C774448883360070F24EEDB
Bishop,3522913,City Council,2014,Actual,actual,16E9ED8C06DF4CB09AD7E975FF87C46E
Bishop,6407216,City Council,2014,Actual,actual,676A1514A7C54765B5AD78973171A21C
Bishop,8010095,City Council,2014,Actual,actual,A44920AA958640E6A129FB714414A0FC
Bishop,5249265,City Council,2014,Actual,actual,1DCCC66C377C4708BAF2F734373632C7
Bishop,30349400,Administration,2009,Actual,actual,A7AD83D70F0D263073CD95CF1D2BDF2C
Bishop,31608200,Administration,2011,Actual,actual,A3F707AAE5A51E5C97D9BDB3F5914AFF
Bishop,32796100,Administration,2010,Actual,actual,8F475BBEB7121BF0F4E9006AAE7455FA
Bishop,34770000,Administration,2013,Budget,budget,9D16CD3F88BDE264CF5C2CD009CED86F
Bishop,35825700,Administration,2012,Actual,actual,76287FC18C40C631A7C48E2A33C5DCB6
Bishop,36220000,Administration,2014,Budget,budget,E02BD36065064960B87EED1DE187C08C
Bishop,2117228,Administration,2014,Actual,actual,42094826A85446278FAD1F8671B94928
Bishop,4367704,Administration,2014,Actual,actual,DCE6BEB13C774448883360070F24EEDB
Bishop,6774767,Administration,2014,Actual,actual,16E9ED8C06DF4CB09AD7E975FF87C46E
Bishop,11911370,Administration,2014,Actual,actual,676A1514A7C54765B5AD78973171A21C
Bishop,14439219,Administration,2014,Actual,actual,A44920AA958640E6A129FB714414A0FC
